id_disposisi,tujuan,isi_disposisi,sifat,batas_waktu,catatan,id_surat,id_user
14,Tim Pengembangan Produk,"Enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Et quod quaeritur saepe, cur tam multi sint Epicurei, sunt aliae quoque causae, sed multitudinem haec maxime allicit, quod ita putant dici.",Tertutup,2024-04-16 03:32:03,Effugiendorum gratia. Sed de clarorum hominum factis illustribus et gloriosis.,65,3
15,Pengelola IT,"Chrysippo praetermissum in Stoicis? Legimus tamen Diogenem, Antipatrum, Mnesarchum, Panaetium, multos alios in primisque familiarem nostrum Posidonium. Quid? Theophrastus mediocriterne delectat, cum tractat locos ab Aristotele ante tractatos? Quid? Epicurei num desistunt de isdem, de quibus neque depravate iudicant neque corrupte, nonne.",Khusus,2024-04-15 21:35:28,"Existimo te, sicut nostrum Triarium, minus ab.",98,3
16,Asisten Pribadi Direktur Utama,"Intellegi posse et voluptatem pleniorem efficit. Itaque non ob ea solum incommoda, quae eveniunt inprobis, fugiendam inprobitatem putamus.",Khusus,2024-05-02 20:09:08,Aliquid cognosci et percipi. Quos qui tollunt et.,76,5
17,Bagian Pengadaan Barang,"Iniurias et omnis monstret vias, quae ad quietem et ad tranquillitatem ferant, quid est enim aut utilior aut.",Umum,2024-05-15 03:54:45,"Distinguique possit, augeri amplificarique non possit. At etiam Athenis, ut e patre.",20,3
18,Penanggung Jawab Keselamatan Kerja,Et aperta iudicari. Etenim quoniam detractis de homine sensibus.,Terbuka,2024-12-05 19:04:02,"Aut rerum necessitatibus saepe eveniet, ut et adversa.",54,1
19,Biro Hukum,"Triarius, in primis gravis et doctus adolescens, ei disputationi interesset. Nam cum ad me accedis, saluto: 'chaere,' inquam, 'Tite!' lictores.",Khusus,2024-08-01 19:51:37,"Sed ex eo perciperet corpore voluptatem, aut.",92,5
20,Bagian Pengadaan Barang,"Est, necesse est, non expeteretur, si nihil efficeret; nunc expetitur, quod est tamquam artifex conquirendae et comparandae voluptatis -- Quam autem ego dicam voluptatem, iam videtis, ne invidia verbi labefactetur oratio mea --. Nam cum solitudo.",Rahasia,2025-01-03 05:51:10,"Adest sentire possumus, animo autem et laetitiam nobis voluptas animi et corporis voluptatibus.",70,2
21,Koordinator Proyek A,"Sane. -- 'At, si voluptas summum sit.",Tertutup,2024-08-14 08:03:29,"Etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti.",47,2
22,Tim Pengembangan Produk,"Atque ad beate vivendum sapientia comparaverit, nihil esse maius amicitia, nihil uberius, nihil iucundius. Nec vero quisquam stultus non horum morborum aliquo laborat, nemo igitur est non miser. Accedit etiam mors, quae quasi titillaret sensus, ut ita ruant itaque turbent, ut earum motus et.",Internal,2024-07-16 03:15:14,"Hoc Epicurus in voluptate ponatur, sed.",86,1
23,Divisi Sumber Daya Manusia,"Inquit: unam rem explicabo, eamque maximam, de physicis alias, et quidem locis pluribus. Sed quot homines, tot sententiae; falli igitur possumus. Quam ob rem voluptas expetenda, fugiendus dolor sit. Sentiri haec putat.",Penting,2024-02-05 04:13:30,Ad libidinem fingitur -- ait enim declinare atomum sine causa; quo nihil posset.,87,3
24,Kepala Bagian Keuangan,"Sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat. Hanc ego cum teneam sententiam, quid est enim in vita tantopere quaerendum quam cum omnia.",Internal,2024-11-20 03:07:19,Scipio vero et Rutilius multo.,2,6
25,Tim Pengembangan Produk,"Quorum facta quem ad modum eae semper voluptatibus inhaererent, eadem de amicitia dicenda sunt. Praeclare enim Epicurus his paene verbis: 'Eadem', inquit, 'scientia confirmavit animum, ne.",Pribadi,2024-09-22 03:35:46,Idem etiam dolorem saepe perpetiuntur.,97,4
26,Biro Hukum,"Ad dolores ita paratus est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat, tamquam e.",Terbuka,2024-03-07 16:33:53,"Quid extremum, quid ultimum, quo sint omnia.",36,4
27,Biro Hukum,"Deserunt mollit anim id est incorruptis atque integris testibus, si infantes pueri.",Rahasia,2024-08-08 17:05:58,Dolores denique quosvis suscipere malit quam deserere ullam.,31,6
28,Tim Pengembangan Produk,"Esse iucundum est propterea, quia tutiorem vitam et voluptatem ipsam per se esse fugiendum. Itaque.",Tertutup,2025-01-07 15:54:27,"Bonis erigimur, quae expectamus, sic laetamur iis, quae et a.",26,3
29,Bagian Pengadaan Barang,"Nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in.",Segera,2024-01-29 11:20:43,"Quae dicta sunt ab iis quos probamus, eisque.",81,1
30,Staf Administrasi,"Corrupte, nonne ei maximam gratiam habere debemus, qui hac exaudita quasi voce naturae sic eam firme graviterque comprehenderit, ut omnes bene.",Pribadi,2024-03-30 19:33:52,Praeter voluptatem et dolorem. Ad haec et quae fugiamus.,30,4
31,Koordinator Proyek A,Sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat.,Segera,2024-12-30 06:49:19,Depravata desiderat. Et quem ad.,21,9
32,Biro Hukum,Omittantur maiorum voluptatum adipiscendarum causa aut dolores suscipiantur.,Internal,2024-06-14 11:42:58,"Expetendis, quid fugiat ut extremum malorum? Qua de re cum.",28,4
33,Manager Pemasaran,"-- Quam autem ego dicam voluptatem, iam videtis, ne.",Khusus,2024-12-17 16:04:06,"Esse censet, quantus videtur, vel paulo aut maiorem.",95,10
34,Tim Pengembangan Produk,"Morati melius erimus, cum didicerimus quid natura postulet non intellegunt, errore maximo, si Epicurum audire voluerint, liberabuntur: istae enim vestrae eximiae pulchraeque virtutes nisi voluptatem efficerent, quis eas aut laudabilis aut expetendas arbitraretur? Ut enim ad minim veniam, quis.",Terbuka,2024-02-19 13:28:03,Invidia verbi labefactetur oratio mea --. Nam cum solitudo et vita sine amicis.,51,9
35,Kepala Bagian Keuangan,"Verum maximisque erroribus animos hominum liberavisse et omnia tradidisse, quae pertinerent ad bene vivendum aptior partitio quam illa, qua est usus Epicurus? Qui unum genus posuit earum.",Biasa,2024-06-30 14:11:27,"Ullus investigandi veri, nisi inveneris, et quaerendi.",57,6
36,Pengelola IT,"Iucundius, id est incorruptis atque integris testibus, si infantes pueri, mutae etiam bestiae paene loquuntur magistra ac duce natura nihil esse maius.",Umum,2025-01-01 21:04:19,"Epicurus quidem ita dicit, omnium rerum, quas ad beate vivendum sapientia.",65,8
37,Asisten Pribadi Direktur Utama,"Sit fictae veterum fabulae declarant, in quibus tam multis tamque variis ab ultima antiquitate repetitis tria.",Biasa,2024-07-08 18:45:59,"Lineam, numquam fore ut atomus altera.",93,8
38,Biro Hukum,"Tutiorem vitam et voluptatem ipsam per se ipsas tam expetendas, quam nostras expeteremus, quo loco videtur quibusdam stabilitas amicitiae vacillare, tuentur tamen eum locum seque facile, ut.",Tertutup,2024-10-05 02:27:07,Denique quosvis suscipere malit quam deserere ullam officii partem.,63,10
39,Biro Hukum,"Sanos in viam placatae, tranquillae, quietae, beatae vitae disciplinam iuvaret. An ille tempus aut in poetis evolvendis, ut ego et Triarius te hortatore facimus.",Biasa,2024-07-28 20:56:37,"Ad corpus referri, nec ob eam.",85,1
40,Penanggung Jawab Keselamatan Kerja,"Est quaerendi ac disserendi, quae logikh dicitur, iste vester plane, ut mihi videtur, expediunt. Ut enim mortis metu omnis quietae vitae status perturbatur, et ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est, ob eamque.",Tertutup,2024-06-15 22:54:18,"Non necesse est. Tribus igitur modis video esse a nostris non legantur? Quamquam, si.",95,4
41,Koordinator Proyek A,"Res se habeat. Nam si dicent ab illis has res esse tractatas, ne ipsos quidem.",Umum,2024-03-14 16:12:04,"Id, quod quaeritur, sit pulcherrimum. Etenim.",1,9
42,Biro Hukum,"Enim eadem illa atomorum, in quo a nobis philosophia defensa et collaudata est, cum id, quod ipsi statuerunt, non possunt, conficiuntur et angore et metu maximeque cruciantur, cum sero sentiunt.",Tertutup,2024-03-19 06:30:56,"Quaeque de virtutibus dicta sunt, explicabo. Nemo enim ipsam voluptatem, quia.",35,9
43,Tim Audit,"Poetarum evolutio, quid tanta tot versuum memoria voluptatis affert? Nec mihi illud dixeris: 'Haec enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista.",Segera,2024-02-09 14:50:23,"Suo, geometrica discere maluisset quam.",10,8
44,Pengelola IT,"Adhuc nec mihi illud dixeris: 'Haec enim ipsa mihi sunt voluptati, et erant illa Torquatis.' Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset. Et quod adest sentire.",Penting,2024-07-02 08:31:20,"Si stabilem scientiam rerum tenebimus, servata illa, quae quasi titillaret sensus, ut ita.",67,6
45,Biro Hukum,"Traditur. Restat locus huic disputationi vel maxime necessarius de amicitia, quam, si voluptas summum sit bonum, affirmatis nullam omnino fore. De qua omne certamen est? Tuo vero id quidem, inquam, arbitratu. Sic faciam igitur, inquit: unam rem explicabo, eamque maximam, de physicis alias, et.",Umum,2024-06-08 13:53:43,"Ad modum, quaeso, interpretaris? Sicine.",65,2
46,Tim Pengembangan Produk,"Vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est! Animi autem morbi sunt cupiditates inmensae et inanes divitiarum, gloriae, dominationis, libidinosarum etiam voluptatum. Accedunt aegritudines, molestiae, maerores, qui exedunt animos conficiuntque curis hominum non intellegentium nihil dolendum esse animo, quod sit iudicatum. Plerique autem, quod tenere atque servare id, quod propositum est, summum bonum consequamur?",Internal,2024-04-19 07:33:02,"Semper desperantes aut malivoli, invidi, difficiles, lucifugi, maledici, monstruosi, alii autem etiam.",51,2
47,Sekretaris Direksi,"Dolorem pariant, has optari, quia voluptatem. Iustitia restat.",Umum,2024-06-17 21:13:58,"Vult, mihi quidem depravare videatur. Ille atomos quas.",89,6
48,Asisten Pribadi Direktur Utama,"Assueverit, iudicabit nulla ad legendum his esse potiora. Quid est enim contra Cyrenaicos satis acute, nihil ad Epicurum. Nam si.",Segera,2024-07-20 08:02:38,"Ad usus civium non inutile, nosque.",35,5
49,Divisi Sumber Daya Manusia,"Excepturi sint, obcaecati cupiditate non provident, similique sunt in.",Segera,2024-03-24 11:13:53,"Perpetiuntur, ne, si id non faciant, incidant in maiorem. Ex quo.",43,5
50,Tim Audit,"Neque sint conversa de Graecis? Nam si dicent ab illis has res esse tractatas, ne ipsos quidem Graecos est cur dubitemus dicere et sapientiam propter voluptates expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter se ipsos penitus perdiderunt, sic robustus animus et excelsus.",Rahasia,2024-02-04 02:48:10,"Non vera videantur. Vide, quantum, inquam, fallare.",24,6
51,Tim Audit,Omnino nulla sit causa peccandi. Quae enim cupiditates a natura.,Tertutup,2024-02-05 12:53:02,"Civium, qua intellegebat contineri suam. Atque haec ratio late patet. In quo enim.",43,4
52,Pengelola IT,"Illum hosti detraxisse, ut aliquam ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; quod vero securi percussit filium, privavisse se etiam videtur multis voluptatibus, cum ipsi.",Tertutup,2024-03-16 21:03:59,"Chorusque: 'chaere, Tite!' hinc hostis mi Albucius, hinc inimicus. Sed iure Mucius. Ego.",61,6
53,Divisi Sumber Daya Manusia,"Laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti. Quorum facta quem ad modum eae semper voluptatibus inhaererent, eadem de amicitia disputatum. Alii cum eas voluptates, quae ad amicos pertinerent.",Penting,2024-12-30 08:15:33,"Quoddam sapientium, ut ne minus amicos quam se ipsos penitus perdiderunt.",92,2
54,Kepala Cabang Jakarta,"Quantum, inquam, fallare, Torquate. Oratio me istius philosophi non offendit; nam.",Tertutup,2024-04-14 11:00:05,"Responsum, cum C. Triarius, in primis gravis et doctus adolescens.",32,8
55,Staf Administrasi,"Non delectet eos sermo patrius, cum idem fabellas Latinas ad verbum e Graecis expressas non inviti legant. Quis enim tam inimicus paene nomini Romano est, qui Ennii Medeam aut Antiopam Pacuvii spernat aut reiciat, quod se isdem Euripidis fabulis delectari dicat, Latinas litteras oderit? Synephebos ego, inquit, potius Caecilii aut Andriam Terentii.",Pribadi,2024-12-08 17:38:40,Summum esse bonum iucunde vivere.,90,3
56,Koordinator Proyek A,"Manus tua sic affecta, quem ad modum sit affectus, eum necesse est aut fastidii delicatissimi. Mihi quidem videtur, inermis ac nudus est. Tollit definitiones, nihil de dividendo ac partiendo docet, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum in sensibus ponit, quibus si semel aliquid falsi pro.",Penting,2024-07-06 11:41:05,"Et metus et aegritudines ad dolorem referuntur, nec praeterea est res ulla, quae sua.",60,10
57,Biro Hukum,"Melius esse quam vacare omni dolore detracto, nam quoniam, cum privamur dolore, ipsa liberatione et vacuitate omnis molestiae gaudemus, omne autem id.",Penting,2024-07-31 07:46:05,In hominum consuetudine facilius fieri poterit et iustius?,38,10
58,Kepala Cabang Jakarta,"Aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum et infinitum impendere malum nobis opinemur. Quod idem licet transferre in voluptatem, ut postea variari voluptas distinguique possit, augeri amplificarique non possit. At etiam Athenis, ut e patre audiebam facete et urbane Stoicos irridente, statua est in Ceramico Chrysippi sedentis porrecta manu.",Penting,2024-07-12 14:19:40,"Servare id, quod his libris quaeritur, qui sit finis, quid.",19,1
59,Penanggung Jawab Keselamatan Kerja,"De qua Epicurus quidem ita dicit, omnium rerum, quas ad beate vivendum se ipsa allicit nec patientia nec assiduitas nec vigiliae nec ea ipsa, quae ab illo est.",Pribadi,2024-12-31 22:17:58,"Omnes bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti iniuste facta.",54,1
60,Manager Pemasaran,"Democrito magnus videtur, quippe homini erudito in geometriaque perfecto, huic pedalis fortasse; tantum enim esse omnino in nostris poetis aut inertissimae segnitiae est aut in voluptate est. Extremum autem esse bonorum voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo.",Biasa,2025-01-25 16:03:57,"Incurrunt, sed intus etiam in animis inclusae inter se reprehensiones non.",38,1
61,Kepala Cabang Jakarta,"Rerum necessitatibus saepe eveniet, ut et adversa quasi perpetua oblivione obruamus et.",Rahasia,2024-10-26 18:07:02,"Est, sic amicitiam negant posse a voluptate discedere. Nam cum.",56,7
62,Bagian Pengadaan Barang,"Specie voluptatis tradunt se libidinibus constringendos nec quid eventurum sit provident ob eamque debilitatem animi multi parentes, multi amicos, non.",Internal,2024-04-16 03:44:59,"Intelleges eitam, ut ab ea nullo modo sine.",89,8
63,Manager Pemasaran,"Indocti, qui, quae pueros non didicisse turpe est, ea putant usque ad senectutem.",Segera,2024-11-14 23:49:34,"Ipsum quidem expedire possunt, quod disserunt. Praeterea sublata cognitione et scientia.",73,10
64,Staf Administrasi,"Movet et cum iucunditate quadam percipitur sensibus, sed maximam voluptatem illam habemus, quae percipitur omni dolore detracto, nam quoniam, cum privamur dolore, ipsa liberatione et vacuitate omnis molestiae.",Khusus,2024-10-19 22:38:26,"Cur tam multos legant, quam legendi sunt. Quid enim me prohiberet Epicureum esse, si.",55,9
65,Sekretaris Direksi,"Praeclarorum hominum ac primorum signiferumque, maluisti dici. Graece ergo praetor Athenis, id quod maluisti, te, cum ad me in Cumanum salutandi causa uterque venisset, pauca primo inter nos de litteris, quarum summum erat in utroque studium, deinde Torquatus: Quoniam nacti.",Umum,2025-01-10 00:27:30,Probarentur; si qua in iis rebus.,56,9
66,Kepala Bagian Keuangan,"Graviter ornateque dictas quis non legat? Nisi qui se plane Graecum dici velit, ut a Scaevola est praetore salutatus Athenis Albucius. Quem quidem locum comit multa venustate et omni sale idem Lucilius, apud quem praeclare Scaevola: Graecum te, Albuci, quam Romanum atque Sabinum, municipem Ponti, Tritani, centurionum, praeclarorum.",Internal,2024-04-06 10:26:17,"Arbitratu facerem, ante hoc tempus.",15,2
67,Staf Administrasi,"Sententiae quae sint quaeque cernantur, omnia, eumque motum atomorum nullo a principio, sed ex aeterno tempore intellegi convenire. Epicurus autem.",Terbuka,2024-08-28 20:05:03,Scientia et verborum vis et natura.,38,4
68,Pengelola IT,"Causa? Quae fuerit causa, mox videro; interea hoc tenebo, si ob aliquam causam ista, quae sine dubio praeclara sunt, fecerint, virtutem iis per se ipsam optabilem, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat. Temperantia est enim, quae in rebus aut expetendis aut.",Rahasia,2025-01-08 10:01:06,"Iure reprehenderit, qui in ea voluptate velit esse cillum.",30,3
69,Staf Administrasi,"Quidem, sed ista sequimur, ut sine cura metuque vivamus animumque.",Internal,2024-07-09 10:40:59,"Res efficiatur, alterum, quae naturales essent.",54,6
70,Divisi Sumber Daya Manusia,"Ab eo et gravissimas res consilio ipsius et ratione administrari neque maiorem voluptatem ex infinito tempore aetatis percipi posse, quam ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et attento intuemur, tum fit ut.",Internal,2024-03-07 23:48:15,Et omnino rerum gerendarum initia proficiscuntur aut a voluptate.,20,5
71,Penanggung Jawab Keselamatan Kerja,"Ii voluptatem maximam adipiscuntur praetermittenda voluptate. Idem etiam dolorem saepe perpetiuntur, ne.",Rahasia,2024-02-14 05:45:42,"Laborum perfunctio neque perpessio dolorum per se ipsas tam expetendas, quam nostras.",50,4
72,Sekretaris Direksi,"Sed intus etiam in animis inclusae inter se cohaerescant, ex quo efficiantur ea, quae audiebamus, conferebamus, neque erat umquam controversia, quid ego intellegerem, sed quid probarem. Quid igitur est? Inquit; audire enim cupio, quid non probes.",Pribadi,2024-03-15 11:44:11,"Maxime placeat, facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam.",23,1
73,Biro Hukum,"Aliquid cognosci et percipi. Quos qui tollunt et nihil posse percipi dicunt, ii remotis sensibus ne id ipsum quidem expedire.",Internal,2024-09-19 06:50:03,"Voluptatibus et doloribus -- itaque concedo, quod modo dicebas, cadere causa, si.",13,5
74,Tim Audit,Esse expetendam et insipientiam propter molestias esse fugiendam? Eademque ratione ne temperantiam quidem propter se ipsos diligant. Quod et scripta.,Umum,2025-01-22 13:37:16,"Autem etiam amatoriis levitatibus dediti, alii.",69,8
75,Manager Pemasaran,"Sua comparat, magna afficitur voluptate. Dolores autem si qui incurrunt, numquam vim tantam habent, ut non plus voluptatum habeat quam dolorum. Nam et laetamur amicorum laetitia.",Umum,2024-11-13 19:56:51,"Doctissimos summa dissensio, quis alienum putet eius esse.",53,4
76,Manager Pemasaran,"Molita quippiam est, quamvis occulte fecerit, numquam tamen id volunt fieri, difficilem quandam temperantiam postulant in eo, qui ita sit affectus, et firmitatem animi nec mortem nec dolorem timentis, quod mors sensu careat, dolor in longinquitate levis, in gravitate brevis soleat esse, ut ad.",Pribadi,2024-06-05 01:15:54,Quae maestitiam pellat ex animis.,50,6
77,Biro Hukum,Aut imperiis aut opibus aut.,Rahasia,2024-06-09 08:33:19,"Minim veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex.",70,2
78,Penanggung Jawab Keselamatan Kerja,"Multos legant, quam legendi sunt. Quid enim est a Cyrenaicisque melius liberiusque defenditur, tamen eius modi tempora incidunt, ut labore et.",Rahasia,2024-12-05 05:32:34,Ad me de virtute misisti. Sed ex eo est consecutus? -- Laudem et.,26,4
79,Divisi Sumber Daya Manusia,"Propter voluptatem et dolorem? Sunt autem quidam e nostris, qui haec subtilius velint tradere et negent satis esse, quid bonum sit aut quid malum, sensu iudicari, sed animo etiam ac ratione intellegi posse et voluptatem pleniorem efficit. Itaque non ob ea solum incommoda, quae eveniunt inprobis, fugiendam inprobitatem putamus, sed multo etiam magis, quod, cuius in.",Tertutup,2024-04-05 02:51:02,"Si qua in iis corrigere voluit, deteriora fecit. Disserendi artem nullam.",51,6
80,Tim Pengembangan Produk,"Sunt, iis parendum non est. Nihil enim desiderabile concupiscunt, plusque in ipsa iniuria detrimenti est quam in iis rebus emolumenti, quae pariuntur iniuria. Itaque ne iustitiam quidem.",Internal,2024-03-19 07:08:28,"Testibus, si infantes pueri, mutae etiam.",94,4
81,Kepala Bagian Keuangan,"Causam efficiendi reliquerunt. Sed hoc commune vitium, illae.",Pribadi,2024-02-09 08:40:27,"Et in conspectum suum venire vetuit, numquid tibi videtur de.",71,5
82,Penanggung Jawab Keselamatan Kerja,"Torquatus: Prorsus, inquit, assentior; neque enim tempus est ullum, quo non plus habeat sapiens, quod gaudeat, quam quod angatur. Optime vero Epicurus, quod exiguam.",Rahasia,2024-09-07 03:51:58,"Ante quam nati, et ad usus civium non inutile, nosque.",7,9
83,Asisten Pribadi Direktur Utama,"Veniat in medium Epicuri ratio, quae plerisque notissima est. Quam a nobis philosophia defensa et collaudata est, cum esset accusata et vituperata ab Hortensio. Qui liber cum et tibi probatus videretur et iis, quos modo nominavi, cum Attico nostro frequenter audivi, cum mihi nihil sane praeter sedulitatem probarent.",Penting,2024-10-30 23:29:40,"Etenim quoniam detractis de homine sensibus reliqui nihil est, necesse est, non expeteretur, si.",85,3
84,Kepala Bagian Keuangan,"Doloribus, etiamsi voluptas ea, quae corrigere vult, mihi quidem videtur, inermis.",Biasa,2024-02-09 11:29:27,"Stoicis? Legimus tamen Diogenem, Antipatrum, Mnesarchum, Panaetium, multos alios in primisque.",61,1
85,Pengelola IT,"Natura divitias, quibus contenta sit, et.",Terbuka,2024-11-07 10:08:54,"Nobis solum ea, sed fruenda etiam.",81,7
86,Tim Pengembangan Produk,"Quoddam sapientium, ut ne minus amicos quam se ipsos diligant. Quod et acutum genus est et ad eos.",Khusus,2024-12-21 03:24:44,"Est ad quiete vivendum, caritatem.",64,3
87,Kepala Bagian Keuangan,"Consequuntur voluptates, quarum potiendi spe inflammati multos labores.",Segera,2024-06-18 16:46:04,Confirmatur animus et excelsus omni est liber cura et angore.,48,1
88,Tim Pengembangan Produk,"Praeterea est res ulla, quae sua natura aut sollicitare possit.",Umum,2024-04-21 09:13:53,"Enim virtutes, de quibus ante dictum est, sic amicitiam negant posse a voluptate.",87,3
89,Kepala Bagian Keuangan,"Nudus est. Tollit definitiones, nihil de dividendo ac partiendo docet, non quo.",Umum,2024-03-22 15:40:32,"Et ignavi, numquam in sententia permanentes, quas.",84,5
90,Asisten Pribadi Direktur Utama,"Totam rem aperiam eaque ipsa, quae tibi probarentur; si qua in iis rebus emolumenti, quae pariuntur iniuria. Itaque ne iustitiam quidem recte.",Terbuka,2024-03-13 20:37:09,"Quadam percipitur sensibus, sed maximam voluptatem illam.",28,3
91,Bagian Pengadaan Barang,"Magis conveniunt, qua qui utuntur, benivolentiam sibi conciliant et, quod aptissimum est ad quiete vivendum, caritatem, praesertim cum omnino nulla sit utilitas ex amicitia.",Tertutup,2024-04-11 09:51:52,"Eumque motum atomorum nullo a principio, sed ex aeterno.",78,7
92,Divisi Sumber Daya Manusia,"Videbitur, transferam, et maxime ab iis, quos modo nominavi, cum Attico nostro frequenter.",Segera,2024-12-08 13:10:47,"Sed similia fere dici possunt. Ut enim virtutes, de.",61,3
